qset	tset	eval	qsetname	tsetname
29.0	3077.0	3.0859999999999993e-149	AAMY01000023.1	KP682373.1
29.0	3078.0	3.0859999999999993e-149	AAMY01000023.1	KP682375.1
29.0	3079.0	3.0859999999999993e-149	AAMY01000023.1	KP682377.1
29.0	3080.0	3.0859999999999993e-149	AAMY01000023.1	KP682378.1
29.0	3081.0	3.0859999999999993e-149	AAMY01000023.1	KP682379.1
29.0	3084.0	3.0859999999999993e-149	AAMY01000023.1	KP682383.1
29.0	3085.0	3.0859999999999993e-149	AAMY01000023.1	KP682384.1
29.0	3086.0	3.0859999999999993e-149	AAMY01000023.1	KP682385.1
29.0	3088.0	3.0859999999999993e-149	AAMY01000023.1	KP682387.1
29.0	3089.0	3.0859999999999993e-149	AAMY01000023.1	KP682388.1
29.0	3091.0	3.0859999999999993e-149	AAMY01000023.1	KP682390.1
29.0	3096.0	3.0859999999999993e-149	AAMY01000023.1	AP012531.1
29.0	3469.0	3.0859999999999993e-149	AAMY01000023.1	AP012530.1
29.0	3471.0	3.0859999999999993e-149	AAMY01000023.1	AP012533.1
29.0	3472.0	3.0859999999999993e-149	AAMY01000023.1	AP012534.1
29.0	3473.0	3.0859999999999993e-149	AAMY01000023.1	AP012535.1
29.0	3477.0	3.0859999999999993e-149	AAMY01000023.1	AP012539.1
29.0	3670.0	3.0859999999999993e-149	AAMY01000023.1	KP682374.1
29.0	3775.0	3.0859999999999993e-149	AAMY01000023.1	KU238070.1
29.0	3475.0	3.0859999999999993e-149	AAMY01000023.1	AP012537.1
29.0	512.0	2.4299999999999993e-146	AAMY01000023.1	FJ188381.1
29.0	2050.0	1.034e-59	AAMY01000023.1	KU998236.1
29.0	2118.0	1.034e-59	AAMY01000023.1	KX557276.1
29.0	3072.0	3.261e-44	AAMY01000023.1	KU977420.1
29.0	6101.0	3.261e-44	AAMY01000023.1	MG986485.1
29.0	5913.0	6.475e-39	AAMY01000023.1	MH001448.1
29.0	3708.0	0.6837	AAMY01000023.1	KT588074.1
39.0	731.0	0.05851	AAQW01000001.1	HQ711984.1
39.0	2051.0	0.05851	AAQW01000001.1	KU310943.1
39.0	3450.0	0.05851	AAQW01000001.1	JX403939.1
40.0	470.0	0.01174	AARI02000398.1	DQ003640.1
40.0	152.0	0.1798	AARI02000398.1	AJ312240.2
40.0	6248.0	0.2922	AARI02000398.1	MH341453.1
44.0	1104.0	0.005777	AARM02000159.1	JX126920.2
44.0	1390.0	0.005777	AARM02000159.1	KJ094021.1
44.0	1400.0	0.008952	AARM02000159.1	KJ094020.1
44.0	6057.0	0.008952	AARM02000159.1	KJ094026.1
44.0	6057.0	0.008952	AARM02000159.1	KJ094024.1
44.0	6057.0	0.008952	AARM02000159.1	KJ094025.1
44.0	1030.0	0.008952	AARM02000159.1	JX126919.1
44.0	763.0	0.008952	AARM02000159.1	JX442241.1
45.0	1426.0	0.0001385	AARM02000259.1	KJ094023.1
45.0	1030.0	0.00039989999999999996	AARM02000259.1	JX126919.1
45.0	1390.0	0.00039989999999999996	AARM02000259.1	KJ094021.1
45.0	1400.0	0.04252	AARM02000259.1	KJ094020.1
45.0	6057.0	0.04252	AARM02000259.1	KJ094026.1
45.0	6057.0	0.04252	AARM02000259.1	KJ094024.1
45.0	6057.0	0.04252	AARM02000259.1	KJ094025.1
45.0	763.0	0.2738	AARM02000259.1	JX442241.1
45.0	1104.0	0.2738	AARM02000259.1	JX126920.2
45.0	152.0	0.519	AARM02000259.1	AJ312240.2
45.0	6247.0	0.7333	AARM02000259.1	MH341452.1
46.0	6246.0	0.05201	AARN04000034.1	MH341451.1
47.0	1426.0	0.546	AARP04000001.1	KJ094023.1
48.0	1426.0	2.787e-09	AARP04000013.1	KJ094023.1
48.0	6248.0	4.042e-05	AARP04000013.1	MH341453.1
48.0	433.0	0.1886	AARP04000013.1	DQ003639.1
48.0	279.0	0.9961	AARP04000013.1	AJ242593.1
50.0	1426.0	2.787e-09	AARR02000014.1	KJ094023.1
50.0	6248.0	4.042e-05	AARR02000014.1	MH341453.1
50.0	433.0	0.1886	AARR02000014.1	DQ003639.1
50.0	279.0	0.9961	AARR02000014.1	AJ242593.1
51.0	1426.0	0.5692	AARR02000019.1	KJ094023.1
52.0	1403.0	1.723e-07	AARU02000001.1	KJ094022.1
52.0	1426.0	3.993e-06	AARU02000001.1	KJ094023.1
52.0	152.0	4.852e-06	AARU02000001.1	AJ312240.2
52.0	6248.0	1.791e-05	AARU02000001.1	MH341453.1
52.0	1916.0	6.212e-05	AARU02000001.1	KP399678.1
52.0	4361.0	0.0001714	AARU02000001.1	KY705252.1
52.0	4364.0	0.0001714	AARU02000001.1	KY705255.1
52.0	4048.0	0.0001714	AARU02000001.1	KX879643.1
52.0	4360.0	0.0001714	AARU02000001.1	KY705251.1
52.0	4362.0	0.0001714	AARU02000001.1	KY705253.1
52.0	4363.0	0.0001714	AARU02000001.1	KY705254.1
52.0	2033.0	0.0003344	AARU02000001.1	KU160496.1
52.0	6247.0	0.0004585	AARU02000001.1	MH341452.1
52.0	279.0	0.0006644	AARU02000001.1	AJ242593.1
52.0	1070.0	0.028480000000000002	AARU02000001.1	JX120799.2
52.0	3842.0	0.029889999999999996	AARU02000001.1	KX077891.1
52.0	2024.0	0.1346	AARU02000001.1	KT337370.1
52.0	4097.0	0.1346	AARU02000001.1	KY065459.1
52.0	4099.0	0.1346	AARU02000001.1	KY065461.1
52.0	4108.0	0.1346	AARU02000001.1	KY065470.1
52.0	4109.0	0.1346	AARU02000001.1	KY065471.1
52.0	456.0	0.1346	AARU02000001.1	DQ003637.1
52.0	7788.0	0.3383	AARU02000001.1	MH674343.1
54.0	1403.0	1.723e-07	AARX02000001.1	KJ094022.1
54.0	1426.0	3.993e-06	AARX02000001.1	KJ094023.1
54.0	152.0	4.852e-06	AARX02000001.1	AJ312240.2
54.0	6248.0	1.791e-05	AARX02000001.1	MH341453.1
54.0	1916.0	6.212e-05	AARX02000001.1	KP399678.1
54.0	4361.0	0.0001714	AARX02000001.1	KY705252.1
54.0	4364.0	0.0001714	AARX02000001.1	KY705255.1
54.0	4048.0	0.0001714	AARX02000001.1	KX879643.1
54.0	4360.0	0.0001714	AARX02000001.1	KY705251.1
54.0	4362.0	0.0001714	AARX02000001.1	KY705253.1
54.0	4363.0	0.0001714	AARX02000001.1	KY705254.1
54.0	2033.0	0.0003344	AARX02000001.1	KU160496.1
54.0	6247.0	0.0004585	AARX02000001.1	MH341452.1
54.0	279.0	0.0006644	AARX02000001.1	AJ242593.1
54.0	1070.0	0.028480000000000002	AARX02000001.1	JX120799.2
54.0	3842.0	0.029889999999999996	AARX02000001.1	KX077891.1
54.0	2024.0	0.1346	AARX02000001.1	KT337370.1
54.0	4097.0	0.1346	AARX02000001.1	KY065459.1
54.0	4099.0	0.1346	AARX02000001.1	KY065461.1
54.0	4108.0	0.1346	AARX02000001.1	KY065470.1
54.0	4109.0	0.1346	AARX02000001.1	KY065471.1
54.0	456.0	0.1346	AARX02000001.1	DQ003637.1
54.0	7788.0	0.3383	AARX02000001.1	MH674343.1
57.0	7562.0	0.0033909999999999995	AASE01000005.1	MH572435.1
57.0	2890.0	0.0256	AASE01000005.1	KT264817.1
57.0	2940.0	0.0256	AASE01000005.1	KT264816.1
57.0	7009.0	0.0256	AASE01000005.1	MH617023.1
57.0	7464.0	0.0256	AASE01000005.1	MH572331.1
57.0	7423.0	0.0256	AASE01000005.1	MH572311.1
57.0	7139.0	0.166	AASE01000005.1	MH617274.1
57.0	7500.0	0.2261	AASE01000005.1	MH572469.1
57.0	6973.0	0.8461	AASE01000005.1	MH616928.1
57.0	7413.0	1.051	AASE01000005.1	MH572300.1
57.0	7534.0	1.051	AASE01000005.1	MH572508.1
57.0	7414.0	1.051	AASE01000005.1	MH572301.1
57.0	7609.0	1.051	AASE01000005.1	MH572393.1
127.0	6450.0	2.179e-78	ABDV01000023.1	MF001357.1
127.0	4169.0	1.5799999999999998e-71	ABDV01000023.1	KY206887.1
146.0	2301.0	1.58e-09	ABHD02000060.1	LN681537.2
146.0	3599.0	1.58e-09	ABHD02000060.1	CP011970.1
169.0	1076.0	0.1482	ABVG02000002.1	AB823818.1
250.0	143.0	0.3657	ACHW01000035.1	AF125163.2
250.0	441.0	0.3657	ACHW01000035.1	AB374228.1
250.0	1176.0	0.3657	ACHW01000035.1	KF361475.1
250.0	3755.0	0.3657	ACHW01000035.1	KU504502.1
250.0	5132.0	0.3657	ACHW01000035.1	KX058879.1
295.0	345.0	0.00014340000000000002	ACSJ01000009.1	AP008983.1
302.0	88.0	1.778e-13	ACUK01000006.1	KY744231.1
302.0	82.0	1.569e-11	ACUK01000006.1	KY744234.1
302.0	87.0	5.885e-10	ACUK01000006.1	KY744229.1
302.0	83.0	1.4e-08	ACUK01000006.1	KY744235.1
302.0	85.0	1.4e-08	ACUK01000006.1	KY744233.1
302.0	81.0	7.299999999999999e-08	ACUK01000006.1	KY744232.1
302.0	86.0	1.003e-06	ACUK01000006.1	KY744230.1
302.0	84.0	7.1129999999999995e-06	ACUK01000006.1	KY744228.1
302.0	67.0	2.526e-05	ACUK01000006.1	FM164764.1
302.0	90.0	0.0001819	ACUK01000006.1	AJ748296.1
302.0	22.0	0.0005731	ACUK01000006.1	AJ875026.1
302.0	79.0	0.0008969	ACUK01000006.1	KX712143.1
302.0	12.0	0.002346	ACUK01000006.1	AJ414696.1
302.0	16.0	0.003222	ACUK01000006.1	AJ344259.1
302.0	78.0	0.1173	ACUK01000006.1	KP282675.1
302.0	39.0	0.2847	ACUK01000006.1	GU080336.1
303.0	84.0	2.904e-08	ACUK01000010.1	KY744228.1
303.0	81.0	1.221e-06	ACUK01000010.1	KY744232.1
303.0	83.0	1.221e-06	ACUK01000010.1	KY744235.1
303.0	85.0	1.221e-06	ACUK01000010.1	KY744233.1
303.0	86.0	1.221e-06	ACUK01000010.1	KY744230.1
303.0	87.0	0.001051	ACUK01000010.1	KY744229.1
303.0	88.0	0.03787	ACUK01000010.1	KY744231.1
303.0	82.0	0.03787	ACUK01000010.1	KY744234.1
303.0	12.0	0.3401	ACUK01000010.1	AJ414696.1
303.0	90.0	0.3401	ACUK01000010.1	AJ748296.1
305.0	78.0	7.937000000000001e-15	ACUK01000096.1	KP282675.1
305.0	65.0	1.472e-08	ACUK01000096.1	HG322870.1
305.0	84.0	9.586e-08	ACUK01000096.1	KY744228.1
305.0	87.0	2.46e-05	ACUK01000096.1	KY744229.1
305.0	86.0	3.405e-05	ACUK01000096.1	KY744230.1
305.0	81.0	6.495e-05	ACUK01000096.1	KY744232.1
305.0	83.0	6.495e-05	ACUK01000096.1	KY744235.1
305.0	85.0	6.495e-05	ACUK01000096.1	KY744233.1
305.0	22.0	0.002017	ACUK01000096.1	AJ875026.1
305.0	88.0	0.005681	ACUK01000096.1	KY744231.1
305.0	82.0	0.01444	ACUK01000096.1	KY744234.1
305.0	16.0	0.1824	ACUK01000096.1	AJ344259.1
305.0	79.0	0.2484	ACUK01000096.1	KX712143.1
305.0	90.0	0.2502	ACUK01000096.1	AJ748296.1
305.0	12.0	0.5814	ACUK01000096.1	AJ414696.1
306.0	86.0	1.1209999999999999e-21	ACUK01000127.1	KY744230.1
306.0	88.0	3.751e-20	ACUK01000127.1	KY744231.1
306.0	82.0	6.609e-19	ACUK01000127.1	KY744234.1
306.0	87.0	1.6049999999999997e-18	ACUK01000127.1	KY744229.1
306.0	84.0	3.2010000000000005e-18	ACUK01000127.1	KY744228.1
306.0	81.0	3.5720000000000004e-17	ACUK01000127.1	KY744232.1
306.0	83.0	7.711e-16	ACUK01000127.1	KY744235.1
306.0	85.0	7.711e-16	ACUK01000127.1	KY744233.1
306.0	65.0	3.701e-13	ACUK01000127.1	HG322870.1
306.0	74.0	4.193e-11	ACUK01000127.1	KP282679.1
306.0	70.0	6.723e-07	ACUK01000127.1	KP282678.1
306.0	16.0	3.523e-06	ACUK01000127.1	AJ344259.1
306.0	76.0	0.00026869999999999997	ACUK01000127.1	KP282677.1
306.0	12.0	0.0008849	ACUK01000127.1	AJ414696.1
306.0	90.0	0.0008849	ACUK01000127.1	AJ748296.1
306.0	67.0	0.0014199999999999998	ACUK01000127.1	FM164764.1
306.0	10.0	0.00149	ACUK01000127.1	AY388628.1
306.0	13.0	0.002242	ACUK01000127.1	AY569307.1
306.0	72.0	0.004911	ACUK01000127.1	KP282680.1
306.0	79.0	0.011040000000000001	ACUK01000127.1	KX712143.1
306.0	78.0	0.023180000000000003	ACUK01000127.1	KP282675.1
306.0	94.0	0.1198	ACUK01000127.1	KY563228.1
306.0	47.0	0.8192	ACUK01000127.1	JX944686.1
307.0	65.0	2.607e-14	ACUK01000159.1	HG322870.1
307.0	70.0	6.4539999999999994e-09	ACUK01000159.1	KP282678.1
307.0	19.0	7.841e-09	ACUK01000159.1	AJ888457.1
307.0	93.0	7.841e-09	ACUK01000159.1	KX607102.1
307.0	76.0	4.653e-07	ACUK01000159.1	KP282677.1
307.0	75.0	0.0158	ACUK01000159.1	KP238129.1
307.0	92.0	0.05509	ACUK01000159.1	KX607101.1
307.0	88.0	0.1704	ACUK01000159.1	KY744231.1
307.0	82.0	0.1994	ACUK01000159.1	KY744234.1
307.0	81.0	0.2009	ACUK01000159.1	KY744232.1
307.0	83.0	0.2735	ACUK01000159.1	KY744235.1
307.0	85.0	0.2735	ACUK01000159.1	KY744233.1
308.0	81.0	1.4769999999999998e-06	ACUK01000271.1	KY744232.1
308.0	83.0	1.4769999999999998e-06	ACUK01000271.1	KY744235.1
308.0	85.0	1.4769999999999998e-06	ACUK01000271.1	KY744233.1
308.0	82.0	1.261e-05	ACUK01000271.1	KY744234.1
308.0	86.0	1.261e-05	ACUK01000271.1	KY744230.1
308.0	88.0	5.34e-05	ACUK01000271.1	KY744231.1
308.0	84.0	0.00016999999999999999	ACUK01000271.1	KY744228.1
308.0	87.0	0.00016999999999999999	ACUK01000271.1	KY744229.1
308.0	12.0	0.07326	ACUK01000271.1	AJ414696.1
308.0	16.0	0.07326	ACUK01000271.1	AJ344259.1
308.0	79.0	0.07326	ACUK01000271.1	KX712143.1
308.0	90.0	0.07326	ACUK01000271.1	AJ748296.1
321.0	4546.0	0.178	ACXP02000001.1	MF161328.1
321.0	1651.0	0.3463	ACXP02000001.1	CP003186.1
328.0	7406.0	0.016030000000000003	ACYA01000001.1	MH636380.1
333.0	7406.0	0.044860000000000004	ACYA01000074.1	MH636380.1
344.0	1858.0	1.732e-05	ACZX01000015.1	KP137433.1
344.0	1955.0	1.732e-05	ACZX01000015.1	KP137437.1
344.0	3598.0	1.732e-05	ACZX01000015.1	KP137439.1
349.0	1422.0	7.078e-31	ADAI01000033.1	KJ572845.2
349.0	3567.0	5.1879999999999996e-21	ADAI01000033.1	KJ545483.2
354.0	1422.0	6.240999999999999e-21	ADBD01000007.1	KJ572845.2
354.0	3567.0	6.240999999999999e-21	ADBD01000007.1	KJ545483.2
360.0	6414.0	0.01708	ADDB02000001.1	KR131711.1
360.0	6414.0	0.01708	ADDB02000001.1	KR131712.1
362.0	1982.0	2.2410000000000003e-16	ADDE01000054.1	HG796225.1
362.0	6169.0	2.2410000000000003e-16	ADDE01000054.1	LK985321.1
362.0	342.0	4.538e-15	ADDE01000054.1	AY855346.1
362.0	1903.0	8.644e-13	ADDE01000054.1	HG798901.1
362.0	1931.0	1.2669999999999998e-11	ADDE01000054.1	LN681538.1
362.0	412.0	5.0769999999999996e-11	ADDE01000054.1	DQ466086.1
362.0	1932.0	4.359e-09	ADDE01000054.1	LN681542.1
362.0	1412.0	1.39e-06	ADDE01000054.1	HG531805.1
362.0	1959.0	1.794e-06	ADDE01000054.1	LN681539.1
362.0	1895.0	8.079e-06	ADDE01000054.1	LN681540.1
362.0	840.0	1.391e-05	ADDE01000054.1	JX145341.1
362.0	802.0	4.561e-05	ADDE01000054.1	JX145342.1
362.0	529.0	0.0001268	ADDE01000054.1	EU719189.1
362.0	6033.0	0.0001612	ADDE01000054.1	MF547663.1
362.0	1779.0	0.0001829	ADDE01000054.1	LK985322.1
362.0	3850.0	0.0001994	ADDE01000054.1	KX228400.1
362.0	2301.0	0.001471	ADDE01000054.1	LN681537.2
362.0	3599.0	0.001471	ADDE01000054.1	CP011970.1
362.0	1863.0	0.008403	ADDE01000054.1	LN681541.1
362.0	6032.0	0.1821	ADDE01000054.1	MF547662.1
363.0	1895.0	1.012e-05	ADDE01000108.1	LN681540.1
363.0	1903.0	2.647e-05	ADDE01000108.1	HG798901.1
363.0	412.0	0.0015550000000000002	ADDE01000108.1	DQ466086.1
363.0	1982.0	0.002879	ADDE01000108.1	HG796225.1
363.0	6169.0	0.002879	ADDE01000108.1	LK985321.1
363.0	342.0	0.015330000000000002	ADDE01000108.1	AY855346.1
363.0	1931.0	0.0265	ADDE01000108.1	LN681538.1
363.0	1932.0	0.05674	ADDE01000108.1	LN681542.1
363.0	1863.0	0.09715	ADDE01000108.1	LN681541.1
363.0	802.0	0.942	ADDE01000108.1	JX145342.1
364.0	1863.0	3.4960000000000006e-10	ADDE01000109.1	LN681541.1
364.0	840.0	1.3639999999999998e-09	ADDE01000109.1	JX145341.1
364.0	412.0	0.0002447	ADDE01000109.1	DQ466086.1
364.0	1932.0	0.0002447	ADDE01000109.1	LN681542.1
364.0	342.0	0.005939	ADDE01000109.1	AY855346.1
364.0	3849.0	0.5197	ADDE01000109.1	KX228399.1
365.0	802.0	4.763e-11	ADDE01000218.1	JX145342.1
365.0	1903.0	6.681e-11	ADDE01000218.1	HG798901.1
365.0	1982.0	6.681e-11	ADDE01000218.1	HG796225.1
365.0	6169.0	6.681e-11	ADDE01000218.1	LK985321.1
365.0	1895.0	1.2009999999999999e-09	ADDE01000218.1	LN681540.1
365.0	840.0	1.851e-06	ADDE01000218.1	JX145341.1
365.0	1931.0	3.0480000000000003e-06	ADDE01000218.1	LN681538.1
365.0	1932.0	7.252e-06	ADDE01000218.1	LN681542.1
365.0	1863.0	1.182e-05	ADDE01000218.1	LN681541.1
365.0	1412.0	0.00015900000000000002	ADDE01000218.1	HG531805.1
365.0	3850.0	0.00020590000000000002	ADDE01000218.1	KX228400.1
365.0	529.0	0.001015	ADDE01000218.1	EU719189.1
365.0	1959.0	0.01006	ADDE01000218.1	LN681539.1
365.0	4359.0	0.1322	ADDE01000218.1	KX905163.1
365.0	412.0	0.1384	ADDE01000218.1	DQ466086.1
366.0	2301.0	3.0109999999999996e-09	ADDE01000262.1	LN681537.2
366.0	3599.0	3.0109999999999996e-09	ADDE01000262.1	CP011970.1
366.0	6032.0	0.2789	ADDE01000262.1	MF547662.1
366.0	6033.0	0.2789	ADDE01000262.1	MF547663.1
367.0	1779.0	0.0025570000000000002	ADDE01000338.1	LK985322.1
367.0	1412.0	0.6386	ADDE01000338.1	HG531805.1
374.0	1862.0	1.0009999999999998e-08	ADEH01000015.1	LN681536.1
374.0	3723.0	1.043e-07	ADEH01000015.1	KU057941.1
374.0	6189.0	1.043e-07	ADEH01000015.1	LN881738.1
374.0	634.0	1.55e-07	ADEH01000015.1	HM568888.1
374.0	1894.0	0.002042	ADEH01000015.1	LN681535.1
382.0	634.0	0.0291	ADEI01000055.1	HM568888.1
382.0	3723.0	0.0291	ADEI01000055.1	KU057941.1
382.0	1894.0	0.0649	ADEI01000055.1	LN681535.1
382.0	6189.0	0.0649	ADEI01000055.1	LN881738.1
382.0	677.0	0.1846	ADEI01000055.1	GU949551.1
382.0	529.0	0.251	ADEI01000055.1	EU719189.1
382.0	3849.0	0.251	ADEI01000055.1	KX228399.1
382.0	342.0	0.6376	ADEI01000055.1	AY855346.1
384.0	4359.0	4.539e-08	ADEI01000104.1	KX905163.1
385.0	412.0	0.006893000000000001	ADEI01000117.1	DQ466086.1
385.0	1863.0	0.006893000000000001	ADEI01000117.1	LN681541.1
385.0	1932.0	0.006893000000000001	ADEI01000117.1	LN681542.1
385.0	1412.0	0.2513	ADEI01000117.1	HG531805.1
386.0	1862.0	4.841e-10	ADEJ01000240.1	LN681536.1
386.0	634.0	4.841e-10	ADEJ01000240.1	HM568888.1
386.0	3723.0	4.841e-10	ADEJ01000240.1	KU057941.1
386.0	6189.0	4.841e-10	ADEJ01000240.1	LN881738.1
386.0	1894.0	0.00020240000000000001	ADEJ01000240.1	LN681535.1
387.0	840.0	0.07992	ADEJ01000256.1	JX145341.1
387.0	1959.0	0.07992	ADEJ01000256.1	LN681539.1
387.0	3850.0	0.07992	ADEJ01000256.1	KX228400.1
387.0	2301.0	0.1036	ADEJ01000256.1	LN681537.2
387.0	3599.0	0.1036	ADEJ01000256.1	CP011970.1
387.0	529.0	0.1239	ADEJ01000256.1	EU719189.1
387.0	3849.0	0.1239	ADEJ01000256.1	KX228399.1
390.0	802.0	0.7127	ADEJ01001093.1	JX145342.1
390.0	1895.0	0.7127	ADEJ01001093.1	LN681540.1
390.0	1931.0	0.7127	ADEJ01001093.1	LN681538.1
390.0	1982.0	0.7127	ADEJ01001093.1	HG796225.1
390.0	6169.0	0.7127	ADEJ01001093.1	LK985321.1
391.0	529.0	0.01261	ADEJ01001158.1	EU719189.1
391.0	3850.0	0.01261	ADEJ01001158.1	KX228400.1
404.0	1848.0	2.852e-05	ADFW01000001.1	KP296792.1
404.0	1763.0	0.5662	ADFW01000001.1	KT361652.1
404.0	1917.0	0.5662	ADFW01000001.1	KP296791.1
404.0	4161.0	0.5662	ADFW01000001.1	KP296795.1
404.0	5646.0	0.5662	ADFW01000001.1	MG727701.1
404.0	5648.0	0.5662	ADFW01000001.1	MG727698.1
445.0	5642.0	0.246	ADJT01006392	MG711463.1
457.0	310.0	3.52e-16	ADOA02000065.1	AJ560763.1
457.0	2055.0	2.087e-06	ADOA02000065.1	GQ866233.1
479.0	123.0	0.2972	ADUN01000095.1	AF125520.1
479.0	239.0	0.2972	ADUN01000095.1	AP000363.1
479.0	2299.0	0.2972	ADUN01000095.1	AP005153.1
479.0	3071.0	0.2972	ADUN01000095.1	KU977419.1
479.0	3073.0	0.2972	ADUN01000095.1	AP004402.1
479.0	3076.0	0.2972	ADUN01000095.1	KP682372.1
479.0	3077.0	0.2972	ADUN01000095.1	KP682373.1
479.0	3079.0	0.2972	ADUN01000095.1	KP682377.1
479.0	3081.0	0.2972	ADUN01000095.1	KP682379.1
479.0	3084.0	0.2972	ADUN01000095.1	KP682383.1
479.0	3085.0	0.2972	ADUN01000095.1	KP682384.1
479.0	3088.0	0.2972	ADUN01000095.1	KP682387.1
479.0	3089.0	0.2972	ADUN01000095.1	KP682388.1
479.0	3093.0	0.2972	ADUN01000095.1	KP682376.1
479.0	3094.0	0.2972	ADUN01000095.1	KP682391.1
479.0	3096.0	0.2972	ADUN01000095.1	AP012531.1
479.0	3470.0	0.2972	ADUN01000095.1	AP012532.1
479.0	3772.0	0.2972	ADUN01000095.1	KU238069.1
479.0	3775.0	0.2972	ADUN01000095.1	KU238070.1
479.0	405.0	0.2972	ADUN01000095.1	AB255436.1
479.0	512.0	0.5558	ADUN01000095.1	FJ188381.1
479.0	542.0	0.5558	ADUN01000095.1	FJ184280.1
479.0	3074.0	0.5558	ADUN01000095.1	FM180578.1
479.0	3469.0	0.5558	ADUN01000095.1	AP012530.1
479.0	3476.0	0.5558	ADUN01000095.1	AP012538.1
479.0	3477.0	0.5558	ADUN01000095.1	AP012539.1
479.0	3478.0	0.5558	ADUN01000095.1	AP012540.1
479.0	211.0	0.5558	ADUN01000095.1	AJ556162.1
479.0	4850.0	0.5558	ADUN01000095.1	JQ347801.1
482.0	123.0	0.2034	ADUQ01000042.1	AF125520.1
482.0	239.0	0.2034	ADUQ01000042.1	AP000363.1
482.0	2299.0	0.2034	ADUQ01000042.1	AP005153.1
482.0	3071.0	0.2034	ADUQ01000042.1	KU977419.1
482.0	3073.0	0.2034	ADUQ01000042.1	AP004402.1
482.0	3076.0	0.2034	ADUQ01000042.1	KP682372.1
482.0	3077.0	0.2034	ADUQ01000042.1	KP682373.1
482.0	3079.0	0.2034	ADUQ01000042.1	KP682377.1
482.0	3081.0	0.2034	ADUQ01000042.1	KP682379.1
482.0	3084.0	0.2034	ADUQ01000042.1	KP682383.1
482.0	3085.0	0.2034	ADUQ01000042.1	KP682384.1
482.0	3088.0	0.2034	ADUQ01000042.1	KP682387.1
482.0	3089.0	0.2034	ADUQ01000042.1	KP682388.1
482.0	3093.0	0.2034	ADUQ01000042.1	KP682376.1
482.0	3094.0	0.2034	ADUQ01000042.1	KP682391.1
482.0	3096.0	0.2034	ADUQ01000042.1	AP012531.1
482.0	3470.0	0.2034	ADUQ01000042.1	AP012532.1
482.0	3772.0	0.2034	ADUQ01000042.1	KU238069.1
482.0	3775.0	0.2034	ADUQ01000042.1	KU238070.1
482.0	405.0	0.2034	ADUQ01000042.1	AB255436.1
482.0	512.0	0.382	ADUQ01000042.1	FJ188381.1
482.0	542.0	0.382	ADUQ01000042.1	FJ184280.1
482.0	3074.0	0.382	ADUQ01000042.1	FM180578.1
482.0	3469.0	0.382	ADUQ01000042.1	AP012530.1
482.0	3476.0	0.382	ADUQ01000042.1	AP012538.1
482.0	3477.0	0.382	ADUQ01000042.1	AP012539.1
482.0	3478.0	0.382	ADUQ01000042.1	AP012540.1
482.0	211.0	0.382	ADUQ01000042.1	AJ556162.1
482.0	4850.0	0.382	ADUQ01000042.1	JQ347801.1
495.0	6414.0	0.00011	ADVK01000030.1	KR131711.1
495.0	6414.0	0.00011	ADVK01000030.1	KR131712.1
526.0	4.0	4.019e-15	AE000666.1	AF301375.1
526.0	0.0	2.032e-11	AE000666.1	AF065411.1
529.0	6333.0	0.0071909999999999995	AE004439.1	MH238467.1
