qset	tset	eval	qsetname	tsetname	Count
19050.0	236.0	0.1643	JTYP01000033.1	AB008550.1	1
19070.0	236.0	5.645	JTZU01000005.1	AB008550.1	1
19092.0	236.0	3795.0	JUAO01000039.1	AB008550.1	1
19096.0	236.0	418.1	JUAR01000006.1	AB008550.1	1
5211.0	236.0	5.216	ASQX01000445.1	AB008550.1	1
22659.0	236.0	19.67	KI518955.1	AB008550.1	1
22684.0	236.0	0.07757	KI519271.1	AB008550.1	1
29098.0	236.0	2120.0	LLQR01000022.1	AB008550.1	1
29122.0	236.0	53.95	LLSK01000112.1	AB008550.1	1
29155.0	236.0	3.345	LLUE01000033.1	AB008550.1	1
29161.0	236.0	13.66	LLUM01000012.1	AB008550.1	1
29162.0	236.0	0.0747	LLUM01000045.1	AB008550.1	1
29178.0	236.0	609.5	LLVD01000012.1	AB008550.1	1
29106.0	236.0	5.22	LLRJ01000001.1	AB008550.1	2
18859.0	236.0	47.62	JTQB01000015.1	AB008550.1	1
18872.0	236.0	2265.0	JTQK01000036.1	AB008550.1	1
18874.0	236.0	23.79	JTQN01000022.1	AB008550.1	1
28593.0	236.0	1.723e-05	LJJN01000108.1	AB008550.1	1
18809.0	236.0	662.6	JTOD01000021.1	AB008550.1	1
28789.0	236.0	0.048260000000000004	LKPS01000012.1	AB008550.1	1
18921.0	241.0	2519.0	JTSI01000016.1	AF165214.2	1
18825.0	241.0	277.2	JTOY01000008.1	AF165214.2	1
20231.0	258.0	183.6	JXUN01000060.1	AY374448.1	1
19450.0	258.0	897.7	JUXH01000033.1	AY374448.1	1
25482.0	258.0	4843.0	KQ235774.1	AY374448.1	1
18940.0	318.0	3.272e-05	JTSX01000008.1	AY625898.1	1
18982.0	318.0	8.03e-05	JTUL01000013.1	AY625898.1	1
7427.0	318.0	7.792e-15	AYUC01000013.1	AY625898.1	1
19045.0	318.0	9.11e-06	JTYG01000005.1	AY625898.1	1
22668.0	318.0	0.00024419999999999997	KI519033.1	AY625898.1	1
18865.0	318.0	4.1	JTQH01000014.1	AY625898.1	1
18879.0	318.0	13.9	JTQR01000019.1	AY625898.1	1
14596.0	345.0	185.4	JENJ01000019.1	AP008983.1	1
14617.0	345.0	1.454e-15	JENU01000022.1	AP008983.1	3
14621.0	345.0	8.867999999999999e-06	JENW01000128.1	AP008983.1	3
23033.0	348.0	0.01825	KK212596.1	DQ163912.1	1
29138.0	348.0	351.4	LLTN01000043.1	DQ163912.1	1
18876.0	359.0	7824.0	JTQQ01000033.1	AJ697969.1	1
4164.0	360.0	7.692e-54	AP008229.1	AP008979.1	3
10578.0	360.0	1.4630000000000002e-41	CP000967.2	AP008979.1	1
12294.0	360.0	4.0289999999999995e-47	CP012947.1	AP008979.1	1
8275.0	370.0	246.7	BAWP01000021.1	DQ340064.2	1
11796.0	370.0	0.1697	CP008934.1	DQ340064.2	1
10741.0	370.0	2.8810000000000002	CP001794.1	DQ340064.2	2
20319.0	370.0	1424.0	JYCF01000075.1	DQ340064.2	1
8194.0	370.0	10.73	BASG01000088.1	DQ340064.2	1
11063.0	370.0	9.036	CP003125.1	DQ340064.2	1
10695.0	370.0	0.06085	CP001638.1	DQ340064.2	1
10998.0	370.0	2.0769999999999998e-22	CP002835.1	DQ340064.2	1
14563.0	373.0	0.04627	JDVE01000025.1	DQ631426.1	1
19038.0	373.0	307.5	JTXZ01000001.1	DQ631426.1	1
5211.0	373.0	7824.0	ASQX01000445.1	DQ631426.1	1
18813.0	373.0	732.5	JTOG01000017.1	DQ631426.1	1
12870.0	420.0	391.4	CYVH01000003.1	DQ003638.2	1
13472.0	420.0	7824.0	FR720325.1	DQ003638.2	1
4164.0	450.0	1.0039999999999997e-39	AP008229.1	DQ777876.1	1
12294.0	450.0	2.4669999999999997e-50	CP012947.1	DQ777876.1	3
10449.0	451.0	285.4	CP000412.1	EF455602.1	1
9488.0	451.0	8.587e-15	CCDT01000005.1	EF455602.1	1
9490.0	451.0	13.56	CCDV01000001.1	EF455602.1	1
10874.0	451.0	3.12e-07	CP002341.1	EF455602.1	1
22032.0	451.0	25.52	KE145375.1	EF455602.1	1
20318.0	453.0	0.3037	JYCF01000054.1	DQ840344.2	1
20321.0	453.0	0.001065	JYCG01000024.1	DQ840344.2	1
8646.0	453.0	0.04262	BBJV01000013.1	DQ840344.2	1
10827.0	453.0	4.151	CP002050.1	DQ840344.2	1
3533.0	453.0	3223.0	ANOC01000002.1	DQ840344.2	1
17391.0	453.0	0.019719999999999998	JPYA01000206.1	DQ840344.2	1
26471.0	453.0	0.9568	LDNS01000046.1	DQ840344.2	2
10998.0	453.0	1.314e-12	CP002835.1	DQ840344.2	1
10370.0	478.0	397.7	CM002370.1	EF529515.1	1
12110.0	478.0	7824.0	CP011217.1	EF529515.1	1
30342.0	482.0	3.185	LSJE01000029.1	FM163528.1	1
19620.0	488.0	0.4007	JVJA01000309.1	EU246945.1	1
1143.0	488.0	7.382000000000001	AFYU01000085.1	EU246945.1	1
19708.0	488.0	5.048e-06	JVNI01000061.1	EU246945.1	2
19709.0	488.0	1.97	JVNI01000080.1	EU246945.1	2
4201.0	488.0	2634.0	AP011548.1	EU246945.1	1
18910.0	513.0	7.743999999999999e-06	JTRY01000002.1	AP009624.1	2
18912.0	513.0	14.17	JTRZ01000037.1	AP009624.1	1
18927.0	513.0	2375.0	JTSM01000107.1	AP009624.1	1
18964.0	513.0	0.08123	JTTW01000020.1	AP009624.1	1
18966.0	513.0	0.001338	JTTX01000062.1	AP009624.1	1
18982.0	513.0	2.093	JTUL01000013.1	AP009624.1	1
18995.0	513.0	11.86	JTVJ01000027.1	AP009624.1	1
7427.0	513.0	140.7	AYUC01000013.1	AP009624.1	2
12552.0	513.0	0.429	CUYA01000041.1	AP009624.1	1
28663.0	513.0	5.5729999999999995	LJZG01000269.1	AP009624.1	1
28673.0	513.0	161.3	LJZI01000108.1	AP009624.1	1
19103.0	513.0	59.18	JUAY01000070.1	AP009624.1	1
19045.0	513.0	2.2509999999999998e-09	JTYG01000005.1	AP009624.1	2
19062.0	513.0	1.261	JTZH01000054.1	AP009624.1	1
19072.0	513.0	57.67	JTZW01000012.1	AP009624.1	1
19095.0	513.0	1.429	JUAR01000001.1	AP009624.1	1
19972.0	513.0	3.779	JWJU01000059.1	AP009624.1	1
22651.0	513.0	0.9818	KI518841.1	AP009624.1	1
29143.0	513.0	0.0032359999999999997	LLTU01000012.1	AP009624.1	1
29144.0	513.0	56.49	LLTW01000012.1	AP009624.1	1
29175.0	513.0	0.01149	LLVB01000043.1	AP009624.1	1
29100.0	513.0	12.98	LLQU01000009.1	AP009624.1	1
18834.0	513.0	325.0	JTPE01000030.1	AP009624.1	1
18863.0	513.0	13.28	JTQF01000012.1	AP009624.1	1
18887.0	513.0	77.07	JTRA01000044.1	AP009624.1	1
18781.0	513.0	7824.0	JTNE01000025.1	AP009624.1	1
3684.0	513.0	37.05	AOBK03000010.1	AP009624.1	1
10194.0	529.0	4.638	CM000604.1	EU719189.1	1
14086.0	529.0	24.37	HF927753.1	EU719189.1	2
14089.0	529.0	3.207	HF929261.1	EU719189.1	1
14091.0	529.0	0.4196	HF929281.1	EU719189.1	1
7076.0	529.0	4.5119999999999996e-07	AWZL01000003.1	EU719189.1	1
5860.0	529.0	0.01299	AVGM01000145.1	EU719189.1	1
13712.0	529.0	4.3039999999999994e-08	GG770710.1	EU719189.1	1
6268.0	529.0	0.03195	AVJE01000070.1	EU719189.1	1
26242.0	548.0	0.5621	LDCD01000010.1	EU570103.1	1
19052.0	560.0	1.4050000000000002e-15	JTYR01000018.1	EU272036.1	1
22627.0	560.0	0.03121	KI517354.1	EU272036.1	1
7549.0	563.0	8.401e-07	AZCT01000006.1	FJ822135.1	2
10288.0	605.0	102.0	CM001979.1	FJ373894.1	1
30084.0	639.0	2340.0	LRCA01000001.1	GU573886.1	1
7678.0	639.0	4456.0	AZKW01000009.1	GU573886.1	1
10374.0	692.0	2.497e-35	CM002803.1	HQ683709.1	5
22478.0	692.0	1.08	KE734717.1	HQ683709.1	1
5829.0	692.0	172.5	AVFT01000021.1	HQ683709.1	1
18923.0	710.0	7.183	JTSL01000116.1	HQ711985.1	1
18949.0	710.0	4.417	JTTF01000040.1	HQ711985.1	1
18986.0	710.0	3.585e-14	JTUT01000042.1	HQ711985.1	2
7427.0	710.0	355.2	AYUC01000013.1	HQ711985.1	1
1118.0	710.0	0.3174	AFXI01000001.1	HQ711985.1	3
28661.0	710.0	0.004412	LJZG01000084.1	HQ711985.1	1
14562.0	710.0	0.103	JDVE01000010.1	HQ711985.1	1
19018.0	710.0	2459.0	JTWP01000049.1	HQ711985.1	1
19042.0	710.0	0.02502	JTYC01000020.1	HQ711985.1	2
19050.0	710.0	1082.0	JTYP01000033.1	HQ711985.1	1
19092.0	710.0	1.943	JUAO01000039.1	HQ711985.1	1
19093.0	710.0	677.1	JUAQ01000013.1	HQ711985.1	1
29083.0	710.0	3.655e-10	LLPY01000050.1	HQ711985.1	2
29814.0	710.0	2.34e-11	LORX01000003.1	HQ711985.1	2
18839.0	710.0	1.6149999999999998e-07	JTPI01000034.1	HQ711985.1	1
18871.0	710.0	3.213e-05	JTQK01000011.1	HQ711985.1	1
11460.0	710.0	217.6	CP007147.1	HQ711985.1	1
29186.0	724.0	343.3	LLVV01000005.1	JN190960.1	2
18921.0	731.0	3.515e-07	JTSI01000016.1	HQ711984.1	2
18923.0	731.0	25.93	JTSL01000116.1	HQ711984.1	1
18936.0	731.0	0.03045	JTST01000012.1	HQ711984.1	1
18947.0	731.0	0.125	JTTE01000010.1	HQ711984.1	1
18949.0	731.0	0.03961	JTTF01000040.1	HQ711984.1	2
18957.0	731.0	4.077	JTTP01000028.1	HQ711984.1	2
7427.0	731.0	6.324	AYUC01000013.1	HQ711984.1	1
19103.0	731.0	3.055	JUAY01000070.1	HQ711984.1	1
27410.0	731.0	0.03915	LGJE01000008.1	HQ711984.1	2
19018.0	731.0	130.5	JTWP01000049.1	HQ711984.1	1
19035.0	731.0	55.61	JTXW01000010.1	HQ711984.1	1
19042.0	731.0	2.198	JTYC01000020.1	HQ711984.1	1
19045.0	731.0	0.005765999999999999	JTYG01000005.1	HQ711984.1	1
19046.0	731.0	0.006823	JTYH01000004.1	HQ711984.1	1
19080.0	731.0	229.6	JUAG01000011.1	HQ711984.1	1
19093.0	731.0	2.23	JUAQ01000013.1	HQ711984.1	1
22690.0	731.0	0.0152	KI519315.1	HQ711984.1	1
29097.0	731.0	270.8	LLQR01000019.1	HQ711984.1	1
29141.0	731.0	123.1	LLTU01000003.1	HQ711984.1	2
18870.0	731.0	1.217e-08	JTQK01000005.1	HQ711984.1	2
18874.0	731.0	1.6280000000000001	JTQN01000022.1	HQ711984.1	1
10250.0	739.0	1.1559999999999999e-08	CM001475.1	JF939047.1	2
17289.0	739.0	2.425	JPOJ01000001.1	JF939047.1	3
28248.0	788.0	4.797999999999999e-11	LINX01000022.1	JQ806763.1	1
4139.0	788.0	320.6	AOZN01000016.1	JQ806763.1	1
4143.0	788.0	198.1	AOZQ01000003.1	JQ806763.1	1
11478.0	788.0	6.356e-07	CP007222.1	JQ806763.1	1
7440.0	821.0	19.67	AYUP01000237.1	JQ288021.1	1
11702.0	821.0	2.326	CP007540.1	JQ288021.1	1
15650.0	824.0	1.785e-09	JHUS01000010.1	GU568037.1	1
17487.0	824.0	0.0004178	JQCS01000179.1	GU568037.1	1
11787.0	824.0	4.876e-11	CP008903.1	GU568037.1	1
10741.0	824.0	6.529999999999999e-43	CP001794.1	GU568037.1	2
28982.0	824.0	211.7	LLKS01000054.1	GU568037.1	1
5752.0	824.0	7824.0	AUXP01000054.1	GU568037.1	1
5754.0	824.0	1.947e-05	AUXP01000111.1	GU568037.1	1
8194.0	824.0	1.263e-10	BASG01000088.1	GU568037.1	1
10905.0	824.0	5.848999999999999e-43	CP002442.1	GU568037.1	4
11063.0	824.0	0.0006797000000000001	CP003125.1	GU568037.1	2
17391.0	824.0	0.006995	JPYA01000206.1	GU568037.1	1
7409.0	824.0	7824.0	AYSF01000013.1	GU568037.1	1
8946.0	824.0	2.153e-07	BCQG01000072.1	GU568037.1	1
20335.0	824.0	1.699e-06	JYCG01000326.1	GU568037.1	1
26472.0	824.0	2.714e-19	LDNS01000095.1	GU568037.1	2
26474.0	824.0	1.997e-14	LDNS01000172.1	GU568037.1	1
26475.0	824.0	414.7	LDNS01000207.1	GU568037.1	1
26484.0	824.0	1.006	LDNU01000324.1	GU568037.1	1
26489.0	824.0	3.786e-12	LDNZ01000113.1	GU568037.1	4
10998.0	824.0	1.776e-05	CP002835.1	GU568037.1	1
7844.0	824.0	0.001607	BA000043.1	GU568037.1	1
10153.0	842.0	7824.0	CEJD01000017.1	JX879087.1	1
11792.0	842.0	435.5	CP008921.1	JX879087.1	1
9060.0	842.0	0.5068	CABY01000005.1	JX879087.1	1
10113.0	842.0	1.5590000000000002	CEEN01000016.1	JX879087.1	1
2637.0	842.0	210.4	ALKY01000039.1	JX879087.1	1
2642.0	842.0	93.6	ALLG01000027.1	JX879087.1	1
9906.0	849.0	3.122	CDBS01000231.1	JQ177063.1	1
4086.0	883.0	28.4	AOYM01000048.1	JQ086371.1	1
1892.0	928.0	96.81	AJKX01000088.1	HQ201308.1	1
1894.0	928.0	0.03337	AJKY01000102.1	HQ201308.1	3
13404.0	928.0	1.745	FN543093.2	HQ201308.1	1
11120.0	928.0	1.689e-05	CP003312.1	HQ201308.1	2
17406.0	928.0	1018.0	JPZH01000198.1	HQ201308.1	1
1902.0	928.0	276.3	AJLC01000123.1	HQ201308.1	1
11772.0	931.0	204.2	CP008860.1	JX434032.1	1
29613.0	932.0	0.00010449999999999999	LNVJ01000147.1	AB720064.1	1
10365.0	932.0	7824.0	CM002139.1	AB720064.1	1
7366.0	936.0	5.289999999999999e-19	AYPR01000015.1	JQ066768.1	3
3907.0	954.0	1.172e-08	AOOB01000047.1	JX181829.1	1
7950.0	957.0	0.001151	BAHA01000018.1	HQ918180.1	1
6912.0	959.0	7824.0	AVSR01000005.1	JX878496.1	1
19042.0	976.0	1.473	JTYC01000020.1	JX434030.1	1
11773.0	995.0	10.89	CP008861.1	JX434031.1	1
19055.0	995.0	224.1	JTYW01000040.1	JX434031.1	1
9370.0	1052.0	1.161	CBWL010000477.1	JF974312.1	2
25455.0	1052.0	1.922e-16	KQ089417.1	JF974312.1	4
17619.0	1076.0	0.0144	JQMN01000001.1	AB823818.1	1
14738.0	1076.0	1.3699999999999999e-11	JFHZ01000044.1	AB823818.1	1
4332.0	1076.0	2.896e-07	APCD01000001.1	AB823818.1	1
17414.0	1076.0	2.7989999999999996e-07	JPZO01000070.1	AB823818.1	1
10827.0	1076.0	2.3680000000000003e-20	CP002050.1	AB823818.1	1
10562.0	1076.0	1.843e-29	CP000922.1	AB823818.1	1
10695.0	1076.0	44.96	CP001638.1	AB823818.1	1
20326.0	1076.0	4.959e-07	JYCG01000142.1	AB823818.1	1
26472.0	1076.0	0.2106	LDNS01000095.1	AB823818.1	1
26474.0	1076.0	0.0162	LDNS01000172.1	AB823818.1	1
26484.0	1076.0	1.515	LDNU01000324.1	AB823818.1	1
26490.0	1076.0	2.165e-09	LDNZ01000139.1	AB823818.1	5
10370.0	1128.0	7.3420000000000005	CM002370.1	HG380752.1	1
10371.0	1128.0	0.01662	CM002371.1	HG380752.1	1
10372.0	1128.0	24.98	CM002372.1	HG380752.1	1
10379.0	1128.0	0.0017170000000000002	CM003135.1	HG380752.1	1
10382.0	1128.0	400.2	CM003139.1	HG380752.1	1
10873.0	1128.0	1491.0	CP002340.1	HG380752.1	1
12257.0	1128.0	7824.0	CP012588.1	HG380752.1	1
18762.0	1183.0	246.9	JTMH01000042.1	KC862299.1	1
18910.0	1245.0	904.0	JTRY01000002.1	HG798806.1	1
18914.0	1245.0	0.7821	JTSE01000021.1	HG798806.1	1
18926.0	1245.0	0.01945	JTSM01000100.1	HG798806.1	1
18927.0	1245.0	499.4	JTSM01000107.1	HG798806.1	1
18963.0	1245.0	9.217e-06	JTTV01000034.1	HG798806.1	1
18966.0	1245.0	0.03281	JTTX01000062.1	HG798806.1	1
18970.0	1245.0	0.3877	JTTZ01000081.1	HG798806.1	1
18984.0	1245.0	8.797	JTUN01000039.1	HG798806.1	1
19288.0	1245.0	4.6e-05	JUKR01000152.1	HG798806.1	1
19002.0	1245.0	0.1691	JTVU01000002.1	HG798806.1	1
29806.0	1245.0	7824.0	LOQZ01000119.1	HG798806.1	1
12557.0	1245.0	1.081	CUYG01000041.1	HG798806.1	1
27069.0	1245.0	8.907	LFMR01000001.1	HG798806.1	1
16111.0	1245.0	7.6370000000000005	JMBR02000020.1	HG798806.1	1
12495.0	1245.0	2.447e-07	CTFM01000027.1	HG798806.1	4
28606.0	1245.0	11.17	LJNV01000038.1	HG798806.1	2
28666.0	1245.0	3553.0	LJZG01000317.1	HG798806.1	1
19335.0	1245.0	12.69	JUOL01000119.1	HG798806.1	1
19100.0	1245.0	94.13	JUAY01000016.1	HG798806.1	1
17307.0	1245.0	1.236e-21	JPQQ01000098.1	HG798806.1	2
19007.0	1245.0	54.1	JTVY01000024.1	HG798806.1	1
19030.0	1245.0	1.227e-22	JTXJ01000060.1	HG798806.1	4
19046.0	1245.0	1.384e-05	JTYH01000004.1	HG798806.1	2
19063.0	1245.0	5.125e-07	JTZI01000017.1	HG798806.1	3
19068.0	1245.0	0.3933	JTZS01000029.1	HG798806.1	1
19069.0	1245.0	7824.0	JTZT01000053.1	HG798806.1	1
19080.0	1245.0	55.77	JUAG01000011.1	HG798806.1	1
22640.0	1245.0	82.32	KI518724.1	HG798806.1	1
22668.0	1245.0	0.9487	KI519033.1	HG798806.1	2
29091.0	1245.0	1.254e-05	LLQN01000020.1	HG798806.1	4
29099.0	1245.0	216.6	LLQR01000024.1	HG798806.1	1
29155.0	1245.0	0.1737	LLUE01000033.1	HG798806.1	1
29162.0	1245.0	0.00019119999999999999	LLUM01000045.1	HG798806.1	1
29173.0	1245.0	208.9	LLUZ01000023.1	HG798806.1	3
29177.0	1245.0	9.368	LLVD01000010.1	HG798806.1	1
11065.0	1245.0	7824.0	CP003149.1	HG798806.1	1
18858.0	1245.0	51.43	JTQB01000014.1	HG798806.1	1
18874.0	1245.0	1.925	JTQN01000022.1	HG798806.1	1
17860.0	1245.0	426.0	JRAU01000227.1	HG798806.1	1
18809.0	1245.0	139.6	JTOD01000021.1	HG798806.1	1
18822.0	1245.0	12.28	JTOV01000041.1	HG798806.1	2
18770.0	1245.0	325.1	JTMP01000027.1	HG798806.1	1
18799.0	1245.0	1150.0	JTNX01000002.1	HG798806.1	1
28717.0	1245.0	0.1163	LKAF01000023.1	HG798806.1	1
19041.0	1313.0	7.546	JTYB01000007.1	AB910393.1	1
20153.0	1394.0	6.914	JXCN01000004.1	KM051843.1	1
10803.0	1400.0	183.7	CP002002.1	KJ094020.1	1
13472.0	1400.0	29.9	FR720325.1	KJ094020.1	1
17127.0	1400.0	4.73e-10	JOWG01000009.1	KJ094020.1	2
17130.0	1400.0	24.21	JOWJ01000008.1	KJ094020.1	1
18660.0	1400.0	6.839e-17	JTCQ01000025.1	KJ094020.1	1
30368.0	1400.0	94.64	LSPR01000003.1	KJ094020.1	1
19046.0	1419.0	20.52	JTYH01000004.1	KJ477077.1	2
19050.0	1419.0	3.796e-11	JTYP01000033.1	KJ477077.1	1
22683.0	1419.0	1.335e-09	KI519264.1	KJ477077.1	1
25391.0	1419.0	0.2677	KN360883.1	KJ477077.1	1
18863.0	1419.0	9.131e-07	JTQF01000012.1	KJ477077.1	1
13472.0	1437.0	7824.0	FR720325.1	KJ591604.1	1
19089.0	1440.0	129.8	JUAN01000025.1	AB981169.1	1
5207.0	1440.0	26.21	ASQT01000139.1	AB981169.1	1
12916.0	1473.0	46.0	CYWP01000010.1	KM373208.1	1
30242.0	1501.0	0.0285	LRWY01000050.1	KP063541.1	1
12157.0	1508.0	502.6	CP011516.1	AP014629.1	1
18922.0	1514.0	0.07859	JTSL01000013.1	LN610590.1	1
23038.0	1514.0	272.2	KK213160.1	LN610590.1	1
11778.0	1514.0	0.1221	CP008869.1	LN610590.1	1
12551.0	1514.0	3.728e-06	CUYA01000037.1	LN610590.1	3
14562.0	1514.0	0.5857	JDVE01000010.1	LN610590.1	1
19007.0	1514.0	301.4	JTVY01000024.1	LN610590.1	1
19039.0	1514.0	2423.0	JTXZ01000002.1	LN610590.1	1
19096.0	1514.0	26.65	JUAR01000006.1	LN610590.1	1
22651.0	1514.0	10.93	KI518841.1	LN610590.1	1
22683.0	1514.0	0.0009394999999999999	KI519264.1	LN610590.1	1
29177.0	1514.0	0.001273	LLVD01000010.1	LN610590.1	1
1118.0	1530.0	12.8	AFXI01000001.1	LN610573.1	1
18643.0	1546.0	0.05897	JTBO01000001.1	JX871397.1	1
11092.0	1547.0	7824.0	CP003222.2	KM873719.2	3
11780.0	1555.0	1.141e-06	CP008872.1	HE584812.1	1
12323.0	1555.0	3.539e-05	CP013245.1	HE584812.1	1
19103.0	1555.0	4.484e-06	JUAY01000070.1	HE584812.1	1
18863.0	1555.0	17.85	JTQF01000012.1	HE584812.1	1
18908.0	1565.0	475.6	JTRU01000024.1	KM233689.1	1
18912.0	1565.0	0.4224	JTRZ01000037.1	KM233689.1	1
18916.0	1565.0	0.1055	JTSF01000031.1	KM233689.1	1
18940.0	1565.0	0.014980000000000002	JTSX01000008.1	KM233689.1	1
18951.0	1565.0	6.087999999999999	JTTG01000023.1	KM233689.1	1
18961.0	1565.0	5.895	JTTU01000039.1	KM233689.1	1
18977.0	1565.0	32.21	JTUG01000013.1	KM233689.1	1
18995.0	1565.0	1434.0	JTVJ01000027.1	KM233689.1	1
19288.0	1565.0	0.01755	JUKR01000152.1	KM233689.1	1
19002.0	1565.0	0.03311	JTVU01000002.1	KM233689.1	1
19006.0	1565.0	0.0001063	JTVY01000011.1	KM233689.1	2
29806.0	1565.0	0.006886	LOQZ01000119.1	KM233689.1	1
12551.0	1565.0	3.636e-08	CUYA01000037.1	KM233689.1	1
12559.0	1565.0	2.9789999999999996	CUYG01000054.1	KM233689.1	1
12323.0	1565.0	9.111000000000001e-08	CP013245.1	KM233689.1	2
28663.0	1565.0	8.633999999999999e-06	LJZG01000269.1	KM233689.1	1
19336.0	1565.0	0.015819999999999997	JUOL01000206.1	KM233689.1	1
26918.0	1565.0	193.6	LEJC01000046.1	KM233689.1	1
19056.0	1565.0	0.0037579999999999996	JTYY01000004.1	KM233689.1	1
19063.0	1565.0	85.77	JTZI01000017.1	KM233689.1	1
19075.0	1565.0	0.01957	JTZY01000006.1	KM233689.1	1
27474.0	1565.0	29.23	LGVH01000504.1	KM233689.1	1
9380.0	1565.0	0.0031829999999999996	CBXZ010000015.1	KM233689.1	1
22652.0	1565.0	90.17	KI518870.1	KM233689.1	1
22670.0	1565.0	0.1743	KI519072.1	KM233689.1	1
29077.0	1565.0	0.3915	LLPR01000010.1	KM233689.1	1
29078.0	1565.0	3.048e-05	LLPR01000052.1	KM233689.1	1
29081.0	1565.0	1.476	LLPX01000006.1	KM233689.1	1
29144.0	1565.0	0.001267	LLTW01000012.1	KM233689.1	1
29177.0	1565.0	0.1953	LLVD01000010.1	KM233689.1	1
18889.0	1565.0	0.004379	JTRC01000052.1	KM233689.1	2
18821.0	1565.0	635.6	JTOV01000038.1	KM233689.1	1
18765.0	1565.0	1.3940000000000001	JTMK01000009.1	KM233689.1	1
11414.0	1565.0	3.179	CP006931.1	KM233689.1	1
8731.0	1573.0	0.09114	BBVF01000006.1	KP010413.1	1
9994.0	1575.0	2859.0	CDJH01000013.1	KM242061.1	1
12439.0	1576.0	177.4	CTBD01000142.1	HG803181.1	1
21252.0	1576.0	160.8	KB661299.1	HG803181.1	1
8651.0	1651.0	3.9e-06	BBKT01000023.1	CP003186.1	1
